order_id,user_id,ts,amount,category,used_promo,payment_type
1,2131,2025-05-27T17:33:34,374.35,Grocery,0,WALLET
2,2096,2025-05-27T17:06:21,628.06,Sports,0,CARD
3,2045,2025-05-27T09:16:39,1300.24,Sports,0,CARD
4,1122,2025-05-27T17:44:06,1564.75,Sports,0,CARD
5,1467,2025-05-27T21:04:24,4382.12,Electronics,0,CARD
6,1331,2025-05-27T17:58:43,1317.94,Fashion,0,CARD
7,1088,2025-05-27T19:24:49,3407.82,Electronics,0,UPI
8,2124,2025-05-27T09:03:34,308.07,Grocery,0,CARD
9,1872,2025-05-27T20:44:53,1176.12,Fashion,1,WALLET
10,1131,2025-05-27T17:59:44,414.63,Books,0,WALLET
11,1770,2025-05-27T15:23:36,1057.14,Fashion,0,CARD
12,1344,2025-05-27T08:35:13,4327.58,Electronics,1,CARD
13,1806,2025-05-27T19:56:46,3466.11,Electronics,0,CARD
14,1386,2025-05-27T11:49:20,1559.32,Sports,0,UPI
15,1956,2025-05-27T14:05:27,982.98,Grocery,0,CARD
16,1277,2025-05-27T13:48:59,3685.14,Electronics,1,UPI
17,2185,2025-05-27T17:00:19,3113.06,Electronics,1,CARD
18,1460,2025-05-27T11:29:48,389.98,Grocery,0,UPI
19,1022,2025-05-27T18:02:22,4072.57,Electronics,1,CARD
20,1253,2025-05-27T18:53:18,536.77,Books,0,CARD
21,1748,2025-05-27T20:25:38,269.94,Grocery,1,WALLET
22,1857,2025-05-27T17:16:37,3241.55,Electronics,0,UPI
23,1475,2025-05-27T12:37:33,4262.63,Electronics,0,CARD
24,2083,2025-05-27T11:00:31,593.26,Home,1,WALLET
25,1511,2025-05-27T09:35:24,1184.63,Fashion,0,CARD
26,1700,2025-05-27T11:04:43,931.95,Fashion,1,WALLET
27,1976,2025-05-27T20:45:17,977.41,Sports,0,UPI
28,1190,2025-05-27T13:30:16,1590.67,Home,1,CARD
29,1958,2025-05-27T19:44:00,2601.89,Home,1,CARD
30,1687,2025-05-27T09:44:36,1000.25,Sports,0,CARD
31,1958,2025-05-27T21:26:43,1212.5,Fashion,1,CARD
32,1563,2025-05-27T18:44:23,3443.53,Electronics,0,UPI
33,1832,2025-05-27T11:53:14,1095.25,Sports,0,CARD
34,2155,2025-05-27T14:31:39,423.61,Grocery,1,CARD
35,1647,2025-05-27T14:24:00,838.69,Fashion,1,WALLET
36,1021,2025-05-27T20:02:00,645.24,Home,0,COD
37,1841,2025-05-27T12:42:39,6523.35,Electronics,0,CARD
38,1167,2025-05-27T09:41:39,1533.34,Fashion,1,CARD
39,1388,2025-05-27T19:44:27,6087.58,Electronics,0,CARD
40,1601,2025-05-27T13:26:16,960.44,Fashion,0,CARD
41,1316,2025-05-27T17:59:06,6873.0,Electronics,0,WALLET
42,1014,2025-05-27T09:41:56,5200.56,Electronics,1,CARD
43,1242,2025-05-27T12:19:23,3546.8,Electronics,0,UPI
44,1777,2025-05-27T15:26:28,570.34,Grocery,1,CARD
45,1565,2025-05-27T15:28:48,1585.07,Sports,0,UPI
46,1898,2025-05-27T18:05:36,604.84,Grocery,0,UPI
47,1092,2025-05-27T10:44:07,627.14,Home,0,WALLET
48,1956,2025-05-27T15:15:55,1035.05,Fashion,1,CARD
49,1509,2025-05-27T11:55:35,491.15,Beauty,0,CARD
50,1776,2025-05-27T12:56:14,581.06,Books,1,CARD
51,1035,2025-05-27T08:29:02,605.11,Beauty,1,WALLET
52,1206,2025-05-27T13:05:09,1721.58,Home,1,WALLET
53,2105,2025-05-27T08:10:19,4116.69,Electronics,0,UPI
54,2026,2025-05-27T12:54:18,1143.53,Home,0,UPI
55,2022,2025-05-27T21:55:08,4348.28,Electronics,0,UPI
56,1566,2025-05-27T17:38:27,717.3,Books,0,CARD
57,2130,2025-05-27T13:38:57,1458.88,Fashion,1,WALLET
58,1703,2025-05-27T12:26:41,2762.39,Home,0,CARD
59,1402,2025-05-27T08:16:08,6265.93,Electronics,0,CARD
60,1730,2025-05-27T21:13:34,448.26,Grocery,0,CARD
61,1162,2025-05-27T15:11:32,1491.97,Home,0,CARD
62,1202,2025-05-27T15:06:59,1594.39,Fashion,0,CARD
63,1996,2025-05-27T08:04:41,285.6,Grocery,1,UPI
64,1270,2025-05-27T15:37:00,436.41,Grocery,0,CARD
65,1816,2025-05-27T12:16:00,830.09,Fashion,0,UPI
